hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,Siv_strct,stat_strct,sys_strct,tot_err_strct,1D_dependence,HERMES,p,2020
pi+,1.29,0.036,0.702,0.336,0.486,0.0289,0.0085,0.0021,0.00875557,0.0311,0.0087,0.0019,0.008905055,x,Overall_Uncert,7.3,
pi+,1.64,0.056,0.567,0.356,0.408,0.0285,0.0072,0.0017,0.007397973,0.0271,0.074,0.0018,0.074021889,x,,,
pi+,1.98,0.074,0.516,0.366,0.375,0.0571,0.0087,0.0012,0.008782369,0.0557,0.0088,0.0004,0.008809086,x,,,
pi+,2.34,0.093,0.489,0.374,0.358,0.047,0.0074,0.0023,0.007749194,0.0472,0.0075,0.0014,0.007629548,x,,,
pi+,2.34,0.093,0.489,0.374,0.358,0.047,0.0074,0.0023,0.007749194,0.0472,0.0075,0.0014,0.007629548,x,,,
pi+,2.87,0.118,0.469,0.379,0.348,0.0383,0.0075,0.0012,0.007595393,0.0388,0.0076,0.0002,0.007602631,x,,,
pi+,3.69,0.157,0.456,0.379,0.342,0.04,0.0074,0.0019,0.007640026,0.0394,0.0074,0.0011,0.00748131,x,,,
pi+,5.71,0.254,0.437,0.375,0.343,0.0571,0.0085,0.0039,0.009352005,0.0565,0.087,0.0041,0.087096556,x,,,
pi+,2.44,0.087,0.594,0.229,0.344,0.0257,0.0054,0.001,0.005491812,0.0252,0.0054,0.0014,0.00557853,z,,,
pi+,2.46,0.094,0.556,0.289,0.371,0.0334,0.0059,0.0012,0.006020797,0.0323,0.0059,0.0019,0.006198387,z,,,
pi+,2.45,0.098,0.533,0.349,0.394,0.0454,0.0067,0.003,0.007340981,0.0447,0.0067,0.004,0.007803204,z,,,
pi+,2.45,0.1,0.52,0.413,0.418,0.0355,0.0073,0.0036,0.00813941,0.0328,0.0073,0.004,0.008324062,z,,,
pi+,2.44,0.101,0.508,0.483,0.441,0.0444,0.0087,0.0076,0.011552056,0.0481,0.0086,0.0075,0.01141096,z,,,
pi+,2.44,0.101,0.508,0.483,0.441,0.0444,0.0087,0.0076,0.011552056,0.0481,0.0086,0.0075,0.01141096,z,,,
pi+,2.43,0.102,0.499,0.558,0.46,0.0699,0.0097,0.0077,0.012384668,0.0708,0.0096,0.0072,0.012,z,,,
pi+,2.41,0.104,0.481,0.647,0.466,0.0691,0.0105,0.0113,0.015425304,0.0699,0.0104,0.0098,0.014289857,z,,,
pi+,2.41,0.107,0.457,0.729,0.453,0.101,0.016,0.014,0.021260292,0.1018,0.0159,0.0121,0.01998049,z,,,
pi+,2.35,0.108,0.434,0.798,0.433,0.0707,0.0162,0.0164,0.023052115,0.0721,0.0161,0.0145,0.021667026,z,,,
pi+,2.31,0.116,0.394,0.916,0.376,-0.0025,0.0145,0.0164,0.021890866,0.0007,0.0147,0.0145,0.020648002,z,,,
pi+,2.56,0.11,0.46,0.341,0.11,0.0001,0.0069,0.0004,0.006911584,0.0001,0.0068,0.0005,0.006818358,phT,,,
pi+,2.56,0.108,0.489,0.35,0.211,0.0189,0.0073,0.0013,0.00741485,0.019,0.0072,0.0017,0.007397973,phT,,,
pi+,2.52,0.103,0.514,0.354,0.28,0.0338,0.0083,0.0011,0.008372574,0.031,0.0082,0.0003,0.008205486,phT,,,
pi+,2.46,0.097,0.54,0.355,0.345,0.0434,0.0077,0.0052,0.009291394,0.0424,0.0077,0.0025,0.008095678,phT,,,
pi+,2.46,0.097,0.54,0.355,0.345,0.0434,0.0077,0.0052,0.009291394,0.0424,0.0077,0.0025,0.008095678,phT,,,
pi+,2.39,0.09,0.57,0.356,0.446,0.062,0.0059,0.0077,0.009700515,0.0594,0.0059,0.0047,0.007543209,phT,,,
pi+,2.34,0.084,0.601,0.373,0.594,0.059,0.0069,0.0108,0.012816006,0.0576,0.0069,0.008,0.010564563,phT,,,
pi+,2.3,0.076,0.642,0.429,0.849,0.068,0.0084,0.0069,0.010870603,0.0663,0.0085,0.0056,0.0101789,phT,,,
pi0,1.3,0.036,0.712,0.325,0.492,-0.0132,0.0305,0.0195,0.036200829,-0.0195,0.0297,0.0193,0.035420051,x,,,
pi0,1.72,0.056,0.597,0.352,0.406,-0.0145,0.0253,0.0195,0.031942761,-0.0261,0.0253,0.0193,0.031821062,x,,,
pi0,2.14,0.074,0.558,0.366,0.374,0.0556,0.0291,0.0197,0.035141144,0.0556,0.0295,0.0197,0.035473088,x,,,
pi0,2.58,0.093,0.538,0.372,0.353,0.0339,0.024,0.0192,0.030734996,0.0273,0.0243,0.0193,0.031031919,x,,,
pi0,2.58,0.093,0.538,0.372,0.353,0.0339,0.024,0.0192,0.030734996,0.0273,0.0243,0.0193,0.031031919,x,,,
pi0,3.19,0.118,0.522,0.378,0.338,0.0196,0.0244,0.0193,0.031110288,0.0139,0.0244,0.0192,0.031048349,x,,,
pi0,4.1,0.156,0.507,0.38,0.323,0.0312,0.0227,0.0192,0.02973096,0.0293,0.0226,0.0192,0.029654679,x,,,
pi0,6.14,0.249,0.479,0.386,0.326,0.0437,0.0266,0.0198,0.033160217,0.045,0.027,0.0199,0.033541169,x,,,
pi0,2.45,0.078,0.648,0.229,0.337,0.0165,0.0262,0.0222,0.034340646,0.0056,0.0257,0.0229,0.034422376,z,,,
pi0,2.49,0.085,0.609,0.289,0.372,-0.0243,0.0217,0.0226,0.031331294,-0.0264,0.0215,0.0232,0.031630523,z,,,
pi0,2.52,0.09,0.581,0.348,0.401,0.0148,0.0217,0.0221,0.030972569,0.0097,0.0215,0.0228,0.031338315,z,,,
pi0,2.53,0.095,0.558,0.413,0.427,0.0536,0.0203,0.0225,0.030304125,0.0488,0.0201,0.0231,0.030620581,z,,,
pi0,2.55,0.099,0.537,0.483,0.45,0.0452,0.021,0.0236,0.031590505,0.0447,0.0208,0.0241,0.031834729,z,,,
pi0,2.55,0.099,0.537,0.483,0.45,0.0452,0.021,0.0236,0.031590505,0.0447,0.0208,0.0241,0.031834729,z,,,
pi0,2.57,0.102,0.517,0.557,0.469,0.0225,0.022,0.024,0.032557641,0.0248,0.0217,0.0242,0.032504307,z,,,
pi0,2.59,0.106,0.496,0.645,0.483,0.0738,0.0225,0.0234,0.03246244,0.0679,0.0222,0.0238,0.032546582,z,,,
pi0,2.61,0.112,0.472,0.728,0.494,0.0384,0.0353,0.0254,0.043488504,0.0383,0.0352,0.0253,0.043348933,z,,,
pi0,2.66,0.116,0.457,0.796,0.488,0.1329,0.0378,0.0223,0.043887698,0.1344,0.0378,0.0228,0.044143856,z,,,
pi0,2.56,0.121,0.418,0.908,0.478,0.0734,0.0437,0.0225,0.049152213,0.0655,0.0441,0.023,0.04973741,z,,,
pi0,2.82,0.114,0.481,0.338,0.111,-0.0108,0.0265,0.0185,0.032318725,-0.012,0.0263,0.0198,0.032920055,phT,,,
pi0,2.69,0.103,0.529,0.34,0.211,0.0483,0.0267,0.0184,0.03242607,0.047,0.0262,0.0198,0.032840219,phT,,,
pi0,2.59,0.095,0.563,0.343,0.28,0.0635,0.0283,0.0184,0.03375574,0.0555,0.0277,0.0198,0.034048935,phT,,,
pi0,2.49,0.088,0.591,0.347,0.345,0.0237,0.0273,0.0188,0.033147096,0.0169,0.0266,0.0199,0.033220024,phT,,,
pi0,2.49,0.088,0.591,0.347,0.345,0.0237,0.0273,0.0188,0.033147096,0.0169,0.0266,0.0199,0.033220024,phT,,,
pi0,2.39,0.081,0.624,0.353,0.446,0.0332,0.019,0.0201,0.027658814,0.0166,0.0187,0.0205,0.027747793,phT,,,
pi0,2.3,0.074,0.652,0.371,0.595,0.0101,0.0195,0.0196,0.027647966,0.0129,0.0191,0.0202,0.02780018,phT,,,
pi0,2.27,0.071,0.675,0.428,0.849,0.0322,0.0197,0.0184,0.026956446,0.0286,0.0194,0.0197,0.027648689,phT,,,
pi-,1.29,0.036,0.704,0.33,0.481,0.0123,0.0093,0.0009,0.009343447,0.0137,0.0095,0.0016,0.009633795,x,,,
pi-,1.64,0.056,0.568,0.35,0.402,0.0139,0.0081,0.0002,0.008102469,0.0152,0.0083,0.0008,0.008338465,x,,,
pi-,1.98,0.074,0.515,0.359,0.369,-0.0024,0.0099,0.0004,0.009908078,-0.0027,0.01,0.0002,0.010002,x,,,
pi-,2.33,0.093,0.487,0.366,0.354,-0.0077,0.0087,0.0008,0.008736704,-0.0081,0.0088,0.001,0.008856636,x,,,
pi-,2.33,0.093,0.487,0.366,0.354,-0.0077,0.0087,0.0008,0.008736704,-0.0081,0.0088,0.001,0.008856636,x,,,
pi-,2.86,0.118,0.468,0.369,0.348,-0.0063,0.009,0.0007,0.009027181,-0.0087,0.0091,0.0001,0.009100549,x,,,
pi-,3.66,0.156,0.454,0.369,0.342,0.0197,0.0091,0.0011,0.009166242,0.0181,0.0092,0,0.0092,x,,,
pi-,5.66,0.253,0.434,0.364,0.349,-0.0057,0.0109,0.002,0.011081967,-0.0066,0.0112,0.0006,0.01121606,x,,,
pi-,2.39,0.084,0.598,0.229,0.35,0.0099,0.0061,0.0025,0.00659242,0.0091,0.0061,0.003,0.006797794,z,,,
pi-,2.38,0.091,0.559,0.289,0.379,0.0133,0.0068,0.0049,0.008381527,0.015,0.0068,0.0053,0.008621485,z,,,
pi-,2.36,0.094,0.536,0.348,0.403,0.0125,0.0079,0.0045,0.009091755,0.0145,0.008,0.0047,0.00927847,z,,,
pi-,2.37,0.097,0.521,0.413,0.422,0.01,0.0088,0.0078,0.011759252,0.0075,0.0088,0.0073,0.011433722,z,,,
pi-,2.35,0.098,0.509,0.483,0.437,0.0028,0.0106,0.0092,0.014035669,0.0033,0.0105,0.0083,0.013384319,z,,,
pi-,2.35,0.098,0.509,0.483,0.437,0.0028,0.0106,0.0092,0.014035669,0.0033,0.0105,0.0083,0.013384319,z,,,
pi-,2.31,0.098,0.498,0.558,0.449,-0.0095,0.012,0.0112,0.016414628,-0.0115,0.0119,0.0091,0.014980654,z,,,
pi-,2.27,0.099,0.479,0.646,0.438,0.0112,0.0134,0.0142,0.019524344,0.0091,0.0132,0.0115,0.017506856,z,,,
pi-,2.19,0.099,0.452,0.729,0.416,-0.0286,0.0208,0.0103,0.023210558,-0.0299,0.0206,0.0078,0.022027256,z,,,
pi-,2.15,0.101,0.432,0.798,0.389,-0.0424,0.0205,0.0188,0.027815284,-0.0433,0.0205,0.0161,0.026066454,z,,,
pi-,2.08,0.104,0.399,0.906,0.338,-0.0395,0.0199,0.0218,0.029516944,-0.0403,0.0199,0.0199,0.02814285,z,,,
pi-,2.48,0.107,0.462,0.337,0.11,0.0085,0.0081,0.0028,0.008570298,0.007,0.0081,0.0018,0.00829759,phT,,,
pi-,2.47,0.103,0.492,0.345,0.211,0.0157,0.0087,0.0033,0.009304837,0.0142,0.0086,0.0017,0.008766413,phT,,,
pi-,2.43,0.098,0.52,0.35,0.28,0.0103,0.0098,0.0044,0.010742439,0.0092,0.0097,0.0033,0.010245975,phT,,,
pi-,2.36,0.092,0.546,0.349,0.345,0.0014,0.0091,0.0031,0.009613532,0.0021,0.0091,0.0034,0.009714422,phT,,,
pi-,2.36,0.092,0.546,0.349,0.345,0.0014,0.0091,0.0031,0.009613532,0.0021,0.0091,0.0034,0.009714422,phT,,,
pi-,2.3,0.086,0.576,0.347,0.446,-0.001,0.0069,0.0007,0.006935416,0.0015,0.007,0.0001,0.007000714,phT,,,
pi-,2.28,0.081,0.606,0.359,0.594,0.006,0.008,0.0046,0.009228218,0.0076,0.0081,0.0035,0.008823831,phT,,,
pi-,2.26,0.076,0.643,0.409,0.846,0.0192,0.01,0.0044,0.0109252,0.0203,0.0101,0.0037,0.010756393,phT,,,
k+,1.29,0.036,0.704,0.363,0.527,0.0527,0.0233,0.0161,0.02832137,0.0441,0.0237,0.0188,0.030251116,x,,,
k+,1.65,0.056,0.571,0.384,0.436,0.0602,0.0193,0.0158,0.024942534,0.0636,0.0198,0.0169,0.026031711,x,,,
k+,2.01,0.074,0.524,0.392,0.398,0.0801,0.0233,0.0156,0.02804015,0.0802,0.0235,0.0172,0.029121985,x,,,
k+,2.39,0.093,0.498,0.401,0.378,0.0715,0.0199,0.0097,0.022138202,0.0713,0.0199,0.0122,0.023342022,x,,,
k+,2.39,0.093,0.498,0.401,0.378,0.0715,0.0199,0.0097,0.022138202,0.0713,0.0199,0.0122,0.023342022,x,,,
k+,2.93,0.118,0.479,0.404,0.366,0.0884,0.0199,0.0084,0.021600231,0.0871,0.0198,0.0099,0.022137073,x,,,
k+,3.79,0.157,0.468,0.408,0.358,0.0773,0.0186,0.0064,0.019670282,0.0762,0.0186,0.0066,0.019736261,x,,,
k+,5.86,0.252,0.451,0.41,0.357,0.0739,0.02,0.0066,0.021060864,0.0739,0.0202,0.0069,0.02134596,x,,,
k+,2.46,0.085,0.603,0.228,0.351,0.0346,0.0171,0.0006,0.017110523,0.0349,0.017,0.0005,0.017007351,z,,,
k+,2.49,0.092,0.569,0.287,0.378,0.0261,0.017,0.0047,0.017637744,0.0233,0.0168,0.0048,0.017472264,z,,,
k+,2.53,0.097,0.548,0.347,0.403,0.0556,0.0173,0.0107,0.020341583,0.058,0.0172,0.0107,0.020256604,z,,,
k+,2.56,0.101,0.532,0.412,0.425,0.0929,0.0176,0.0103,0.020392401,0.0966,0.0174,0.0106,0.020374494,z,,,
k+,2.55,0.102,0.522,0.482,0.458,0.1104,0.0199,0.0028,0.02009602,0.1074,0.0198,0.0037,0.020142741,z,,,
k+,2.55,0.102,0.522,0.482,0.458,0.1104,0.0199,0.0028,0.02009602,0.1074,0.0198,0.0037,0.020142741,z,,,
k+,2.54,0.104,0.515,0.556,0.484,0.1103,0.0214,0.0008,0.021414948,0.1147,0.0212,0.001,0.021223572,z,,,
k+,2.61,0.108,0.5,0.645,0.506,0.0944,0.0232,0.0039,0.023525518,0.0912,0.023,0.0066,0.023928226,z,,,
k+,2.63,0.112,0.474,0.727,0.506,0.129,0.0356,0.0015,0.035631587,0.1272,0.0352,0.0013,0.035223998,z,,,
k+,2.62,0.116,0.448,0.796,0.501,0.1942,0.0351,0.0108,0.03672397,0.1981,0.0349,0.0079,0.035782957,z,,,
k+,2.47,0.119,0.411,0.903,0.469,0.1859,0.0379,0.017,0.041538055,0.1929,0.0379,0.0134,0.040199129,z,,,
k+,2.68,0.113,0.468,0.362,0.111,0.028,0.0178,0.0167,0.024407581,0.0282,0.0177,0.0162,0.023994374,phT,,,
k+,2.66,0.109,0.495,0.372,0.211,0.0649,0.0195,0.0177,0.026335148,0.0641,0.0192,0.0171,0.025710893,phT,,,
k+,2.66,0.106,0.517,0.377,0.28,0.0671,0.0228,0.0111,0.025358431,0.0725,0.0224,0.0119,0.025364739,phT,,,
k+,2.56,0.099,0.54,0.381,0.345,0.0807,0.0217,0.0003,0.021702074,0.0774,0.0213,0.0034,0.021569655,phT,,,
k+,2.56,0.099,0.54,0.381,0.345,0.0807,0.0217,0.0003,0.021702074,0.0774,0.0213,0.0034,0.021569655,phT,,,
k+,2.49,0.093,0.565,0.387,0.447,0.0908,0.0159,0.0044,0.016497576,0.0884,0.0158,0.0001,0.015800316,phT,,,
k+,2.41,0.087,0.593,0.402,0.597,0.0857,0.0179,0.0143,0.022910696,0.084,0.0179,0.0092,0.020125854,phT,,,
k+,2.29,0.076,0.642,0.451,0.867,0.0734,0.019,0.0031,0.019251234,0.0682,0.019,0.0016,0.019067249,phT,,,
k-,1.3,0.036,0.711,0.338,0.503,-0.0043,0.0291,0.0006,0.029106185,-0.0003,0.0297,0.0001,0.029700168,x,,,
k-,1.67,0.056,0.578,0.355,0.417,0.0493,0.027,0.0038,0.027266096,0.0536,0.0277,0.0057,0.028280382,x,,,
k-,2.04,0.074,0.533,0.361,0.381,0.0565,0.0339,0.0079,0.034808332,0.0571,0.0341,0.01,0.035536038,x,,,
k-,2.44,0.093,0.51,0.367,0.367,0.0216,0.0294,0.0071,0.030245165,0.0155,0.0297,0.0083,0.030837964,x,,,
k-,2.44,0.093,0.51,0.367,0.367,0.0216,0.0294,0.0071,0.030245165,0.0155,0.0297,0.0083,0.030837964,x,,,
k-,3.01,0.118,0.493,0.366,0.362,0.0357,0.0321,0.0081,0.033106193,0.035,0.0322,0.01,0.033717058,x,,,
k-,3.89,0.157,0.48,0.365,0.356,0.0381,0.0312,0.0148,0.034532304,0.0392,0.0314,0.0161,0.035286966,x,,,
k-,5.82,0.251,0.451,0.363,0.364,0.0191,0.0372,0.0319,0.049004592,0.0186,0.0378,0.0328,0.050046778,x,,,
k-,2.41,0.082,0.616,0.227,0.362,0.0007,0.0218,0.0063,0.022692069,0.0046,0.022,0.0066,0.022968674,z,,,
k-,2.41,0.087,0.582,0.287,0.389,0.0357,0.0233,0.0046,0.023749737,0.0376,0.0233,0.0058,0.024011039,z,,,
k-,2.4,0.091,0.557,0.347,0.419,-0.0098,0.0259,0.0031,0.026084862,-0.012,0.0259,0.0049,0.026359439,z,,,
k-,2.37,0.092,0.542,0.411,0.44,0.0646,0.0285,0.0022,0.028584786,0.0708,0.0283,0.005,0.028738302,z,,,
k-,2.29,0.091,0.534,0.482,0.46,0.0565,0.0335,0.0025,0.033593154,0.0525,0.0332,0.0004,0.03320241,z,,,
k-,2.29,0.091,0.534,0.482,0.46,0.0565,0.0335,0.0025,0.033593154,0.0525,0.0332,0.0004,0.03320241,z,,,
k-,2.34,0.093,0.531,0.556,0.465,0.063,0.0411,0.0136,0.043291685,0.0547,0.0407,0.0091,0.041704916,z,,,
k-,2.33,0.094,0.52,0.642,0.493,0.0423,0.0504,0.0173,0.05328649,0.0437,0.0497,0.0124,0.05122353,z,,,
k-,2.28,0.093,0.506,0.726,0.5,0.2062,0.0882,0.014,0.089304199,0.1774,0.0882,0.0091,0.088668202,z,,,
k-,2.3,0.096,0.482,0.793,0.464,0.1303,0.1367,0.024,0.138790814,0.1099,0.1285,0.0199,0.130031765,z,,,
k-,2.47,0.103,0.477,0.337,0.111,-0.0011,0.0284,0.019,0.034169577,-0.0038,0.0281,0.0203,0.034665545,phT,,,
k-,2.48,0.1,0.513,0.346,0.21,0.0928,0.0312,0.0147,0.034489564,0.0942,0.0305,0.0184,0.035620359,phT,,,
k-,2.48,0.096,0.54,0.346,0.28,0.005,0.036,0.01,0.037363083,0.0086,0.0352,0.014,0.037881922,phT,,,
k-,2.39,0.089,0.566,0.351,0.345,0.0253,0.0334,0.006,0.033934643,0.0164,0.033,0.0105,0.034630189,phT,,,
k-,2.39,0.089,0.566,0.351,0.345,0.0253,0.0334,0.006,0.033934643,0.0164,0.033,0.0105,0.034630189,phT,,,
k-,2.32,0.084,0.592,0.348,0.447,0.0269,0.0242,0.0026,0.024339269,0.0261,0.0242,0.0076,0.025365331,phT,,,
k-,2.31,0.08,0.62,0.358,0.597,0.0193,0.0265,0.0085,0.02782984,0.0183,0.0268,0.0135,0.030008166,phT,,,
k-,2.26,0.073,0.661,0.409,0.856,0.0501,0.0288,0.0119,0.031161675,0.0524,0.029,0.0153,0.032788565,phT,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
