Set,k,QQ,x,t,ReH_new,ReE_new,ReHtilde_new
1,2.75,1.51576,0.369204,-0.306885,0.63544,-3.528175,2.991006
2,2.75,1.86729,0.527413,-0.437447,1.154517,1.500892,4.393632
4,2.75,1.44409,0.463857,-0.483145,0.564954,1.396357,3.542527
8,2.75,1.11798,0.283371,-0.498293,0.527438,-0.28869,4.49101
9,2.75,1.78384,0.492262,-0.461759,1.302704,-6.688542,4.564049
10,2.75,1.66447,0.452008,-0.422538,1.223602,-4.496722,3.220692
12,2.75,2.03965,0.547977,-0.449074,1.386489,-0.204082,4.334111
13,2.75,1.68691,0.503554,-0.383757,0.985895,-1.362914,3.340798
14,2.75,1.5548,0.47467,-0.469742,1.584828,-7.557214,4.914934
15,2.75,1.60539,0.494002,-0.454349,1.334841,-6.474206,4.982961
16,2.75,1.37086,0.416852,-0.455687,0.556992,-6.15537,4.581718
17,2.75,1.62828,0.433084,-0.354941,0.790432,2.39739,2.234859
19,2.75,1.66558,0.457363,-0.385021,0.879627,-2.038074,3.39763
20,2.75,1.01484,0.410423,-0.232699,0.43775,0.24465,2.390615
21,2.75,1.5488,0.416308,-0.488016,1.017488,1.16142,4.171321
23,2.75,1.07525,0.456711,-0.290708,0.590039,3.77475,2.189224
24,2.75,1.80568,0.447482,-0.454667,1.354166,-5.929922,3.570749
25,2.75,1.01332,0.423223,-0.238837,0.580942,1.31282,1.926705
26,2.75,1.73135,0.470845,-0.390857,1.110175,-1.168718,3.112049
27,2.75,1.47272,0.455851,-0.296889,0.836238,-1.97101,3.51596
28,5.75,1.3996,0.332528,-0.261921,0.85509,-1.221168,2.365559
29,5.75,2.05942,0.433327,-0.272603,1.058304,-6.991736,5.669574
30,5.75,1.13528,0.58938,-0.463738,0.264115,6.743933,-13.883175
31,5.75,2.35068,0.434603,-0.316798,0.965395,0.789566,2.246172
32,5.75,2.75514,0.475665,-0.414944,1.21203,-1.103416,2.901579
33,5.75,2.35866,0.439937,-0.42081,1.017767,-4.178478,4.617311
34,5.75,1.57805,0.37843,-0.276353,0.746457,-0.746332,2.44836
35,5.75,2.36216,0.460838,-0.354374,1.095651,-1.431344,2.911747
36,5.75,1.33701,0.423396,-0.410395,0.462137,-0.962648,0.738315
37,5.75,1.40182,0.2997,-0.309792,0.538369,-7.966386,4.058633
38,5.75,4.10727,0.487991,-0.469317,1.686285,-5.847199,4.820164
39,5.75,2.92742,0.393049,-0.393098,0.987483,-1.318002,2.73248
41,5.75,1.77296,0.460297,-0.325598,0.927155,-4.457434,3.115996
43,5.75,2.18305,0.451306,-0.497989,1.209008,-2.777594,3.480724
44,5.75,1.13398,0.324754,-0.165836,0.398814,-4.747968,3.384329
45,5.75,3.3657,0.414868,-0.490686,1.294126,-3.444024,4.002569
46,5.75,2.13106,0.405378,-0.456268,0.885759,-0.585294,2.765245
47,5.75,2.38142,0.477923,-0.403919,0.961746,-1.389121,2.984647
48,5.75,2.95227,0.410326,-0.389615,1.331371,-4.229458,4.266484
49,5.75,2.72254,0.47467,-0.474472,0.992633,-0.764369,2.561274
50,5.75,1.07126,0.329294,-0.229681,0.360011,1.08654,2.23609
51,5.75,1.63185,0.351221,-0.284394,0.771835,-2.818908,3.649134
52,5.75,2.59384,0.519143,-0.469722,1.067728,-3.934324,5.716613
53,5.75,2.11599,0.389119,-0.45713,1.035652,-4.531169,4.598346
54,5.75,2.18192,0.489571,-0.362497,1.047066,-0.239756,2.577669
56,5.75,2.10026,0.456838,-0.451565,0.720594,-1.123923,3.085939
57,5.75,1.12678,0.483102,-0.376384,0.321036,3.643639,-2.916814
59,5.75,1.0854,0.397175,-0.305576,0.315957,0.045245,2.192562
60,5.75,2.28953,0.501174,-0.400053,1.104483,-0.414514,3.183766
61,5.75,2.06045,0.42777,-0.419058,1.249622,-3.10258,3.796476
62,5.75,2.46397,0.458299,-0.313288,0.893927,2.776188,0.559678
63,5.75,1.40541,0.360942,-0.294133,0.635814,-4.714796,3.582828
64,5.75,2.99994,0.38417,-0.361526,1.144289,-0.495172,2.803885
65,5.75,1.98947,0.348625,-0.440897,0.908711,-6.409997,3.961495
66,5.75,1.93397,0.487249,-0.474645,0.826123,-1.960748,3.247273
67,5.75,1.69905,0.434288,-0.333734,0.736303,-0.863276,2.711559
68,5.75,1.98286,0.407098,-0.435717,1.068316,-5.019639,4.315348
69,5.75,4.53205,0.503737,-0.498749,1.212802,2.151336,4.09291
70,5.75,3.82342,0.414179,-0.464695,1.223333,1.332598,4.738489
71,5.75,2.93082,0.353409,-0.498615,1.336578,0.11444,3.934229
72,5.75,1.01357,0.480248,-0.445107,0.412742,7.349223,-2.860421
73,5.75,1.39787,0.543611,-0.445009,0.638292,-0.442339,1.35185
74,5.75,1.41485,0.263563,-0.255563,0.647608,-3.69544,3.129663
75,5.75,1.02442,0.353276,-0.466339,0.214462,1.699916,2.464416
76,10,2.06666,0.35211,-0.372448,0.870253,-3.229518,2.989646
77,10,3.49294,0.431918,-0.39292,1.141888,-0.647229,2.216509
78,10,3.10002,0.433327,-0.285693,0.880772,-6.34371,5.758829
79,10,3.55277,0.396336,-0.362823,0.8757,-1.138232,2.26607
80,10,4.69495,0.464606,-0.409555,1.07434,4.015752,0.680886
81,10,3.67644,0.434603,-0.327627,0.897951,-1.861822,3.826447
82,10,2.64696,0.356369,-0.420892,0.864601,-0.410469,2.675742
83,10,3.80212,0.36671,-0.468218,1.336728,-3.510954,4.087478
84,10,3.68838,0.439937,-0.425894,1.269557,-2.712432,3.996458
85,10,4.77584,0.454214,-0.490858,0.766981,2.131384,1.628965
86,10,1.66994,0.423396,-0.413501,0.919033,5.839912,-2.935829
87,10,1.31324,0.289039,-0.147012,0.449558,-3.302592,2.768528
90,10,4.09215,0.527618,-0.492024,1.525264,-2.732873,2.996415
91,10,3.7605,0.351615,-0.371892,0.904358,-5.157825,4.865234
92,10,4.14208,0.449634,-0.489031,1.308401,-4.289496,4.752611
93,10,2.62113,0.441189,-0.360262,0.995749,-3.178482,4.656481
94,10,4.37314,0.418169,-0.306772,0.764454,-14.090038,9.448497
95,10,1.28001,0.338006,-0.280093,0.244389,1.04615,1.343451
96,10,1.11219,0.327053,-0.14238,0.33187,-1.948744,2.078532
97,10,3.60857,0.415497,-0.485913,1.061821,-4.724183,5.694769
99,10,3.23999,0.364715,-0.373272,1.42612,-4.38392,3.998363
